stage,group,team1,score1,score2,team2,pens1,pens2
group,A,Qatar,0,2,Ecuador,,
group,A,Senegal,0,2,Netherlands,,
group,A,Qatar,1,3,Senegal,,
group,A,Netherlands,1,1,Ecuador,,
group,A,Ecuador,1,2,Senegal,,
group,A,Netherlands,2,0,Qatar,,
group,B,England,6,2,Iran,,
group,B,United States,1,1,Wales,,
group,B,Wales,0,2,Iran,,
group,B,England,0,0,United States,,
group,B,Wales,0,3,England,,
group,B,Iran,0,1,United States,,
group,C,Argentina,1,2,Saudi Arabia,,
group,C,Mexico,0,0,Poland,,
group,C,Poland,2,0,Saudi Arabia,,
group,C,Argentina,2,0,Mexico,,
group,C,Poland,0,2,Argentina,,
group,C,Saudi Arabia,1,2,Mexico,,
group,D,Denmark,0,0,Tunisia,,
group,D,France,4,1,Australia,,
group,D,Tunisia,0,1,Australia,,
group,D,France,2,1,Denmark,,
group,D,Australia,1,0,Denmark,,
group,D,Tunisia,1,0,France,,
group,E,Germany,1,2,Japan,,
group,E,Spain,7,0,Costa Rica,,
group,E,Japan,0,1,Costa Rica,,
group,E,Spain,1,1,Germany,,
group,E,Japan,2,1,Spain,,
group,E,Costa Rica,2,4,Germany,,
group,F,Morocco,0,0,Croatia,,
group,F,Belgium,1,0,Canada,,
group,F,Belgium,0,2,Morocco,,
group,F,Croatia,4,1,Canada,,
group,F,Croatia,0,0,Belgium,,
group,F,Canada,1,2,Morocco,,
group,G,Switzerland,1,0,Cameroon,,
group,G,Brazil,2,0,Serbia,,
group,G,Cameroon,3,3,Serbia,,
group,G,Brazil,1,0,Switzerland,,
group,G,Serbia,2,3,Switzerland,,
group,G,Cameroon,1,0,Brazil,,
group,H,Uruguay,0,0,South Korea,,
group,H,Portugal,3,2,Ghana,,
group,H,South Korea,2,3,Ghana,,
group,H,Portugal,2,0,Uruguay,,
group,H,Ghana,0,2,Uruguay,,
group,H,South Korea,2,1,Portugal,,
R16,,Netherlands,3,1,United States,,
R16,,Argentina,2,1,Australia,,
R16,,France,3,1,Poland,,
R16,,England,3,0,Senegal,,
R16,,Japan,1,1,Croatia,1,3
R16,,Brazil,4,1,South Korea,,
R16,,Morocco,0,0,Spain,3,0
R16,,Portugal,6,1,Switzerland,,
QF,,Croatia,1,1,Brazil,4,2
QF,,Netherlands,2,2,Argentina,3,4
QF,,Morocco,1,0,Portugal,,
QF,,France,2,1,England,,
SF,,Argentina,3,0,Croatia,,
SF,,France,2,0,Morocco,,
3P,,Croatia,2,1,Morocco,,
F,,Argentina,3,3,France,4,2
